language,word,sense_id,pos,meaning,ipa,notes
en,lead,1,noun,"a metal (Pb)",lɛd,
en,lead,2,verb,"to guide",liːd,
en,wind,1,noun,"moving air",wɪnd,
en,wind,2,verb,"to twist/turn",waɪnd,
en,tear,1,noun,"drop from the eye",tɪr,
en,tear,2,verb,"to rip",tɛr,
en,bass,1,noun,"low frequency",beɪs,
en,bass,2,noun,"a type of fish",bæs,
en,minute,1,noun,"60 seconds",ˈmɪnɪt,
en,minute,2,adjective,"very small",maɪˈnjuːt,
